Reference,Gene,Peptide,Measurement,Culture_Protein,25%,75%,Culture_mRNA ,s.e.m.,Sorted_Progenitor_mRNA,Sorted_Neutrophil_mRNA,neut_dev_mRNA,tp8mer,tp7m8,tp7A1,orf8mer,orf7m8,orf7A1,fp8mer,fp7m8,fp7A1
NM_013608,Naca,5,147,-0.095 ,-0.193 ,-0.032 ,0.033 ,0.012 ,0.003 ,0.040 ,-0.864 ,0,0,0,0,0,0,0,0,0
NM_025706,Tbc1d15,18,45,0.075 ,-0.006 ,0.249 ,-0.007 ,0.027 ,0.022 ,0.168 ,0.611 ,0,0,0,0,0,0,0,0,0
NM_001081208,Hs3st5,-,-,-,-,-,0.210 ,0.134 ,0.109 ,0.020 ,0.060 ,0,0,0,0,0,0,0,0,0
NM_144807,Chpt1,-,-,-,-,-,-0.006 ,0.112 ,-0.262 ,0.109 ,-0.227 ,0,0,0,0,0,0,0,0,0
NM_008524,Lum,-,-,-,-,-,0.175 ,0.081 ,-0.002 ,-0.001 ,0.140 ,0,0,0,0,0,0,0,0,0
NM_011264,Rev3l,-,-,-,-,-,-0.150 ,0.082 ,-0.371 ,0.004 ,-0.126 ,0,0,0,0,0,1,0,0,0
NM_177092,Msrb3,-,-,-,-,-,0.009 ,0.098 ,0.153 ,0.065 ,-0.373 ,0,0,0,0,0,0,0,0,0
NM_026065,D10ertd322e,-,-,-,-,-,-0.124 ,0.010 ,0.278 ,0.109 ,-2.385 ,0,0,0,0,0,0,0,0,0
NM_177475,Zfp280b,-,-,-,-,-,-0.302 ,0.083 ,-0.084 ,-0.123 ,-1.021 ,0,0,0,0,1,0,0,0,0
NM_027930,2610016c23rik,-,-,-,-,-,-0.167 ,0.059 ,0.261 ,-0.022 ,-1.298 ,0,0,0,0,0,0,0,0,0
NM_001101572,Vmn2r82,-,-,-,-,-,-,-,-,-,-,0,0,0,1,0,0,0,0,0
NM_009312,Tac2,-,-,-,-,-,-0.104 ,0.112 ,0.048 ,-0.218 ,-0.071 ,0,0,0,0,0,0,0,0,0
NM_001039053,Pkib,-,-,-,-,-,1.223 ,0.146 ,0.197 ,0.755 ,1.998 ,0,0,0,0,0,0,0,0,0
NM_008297,Hsf2,-,-,-,-,-,0.116 ,0.085 ,0.231 ,0.232 ,-0.018 ,0,0,0,0,0,0,0,0,0
NM_178662,Atcay,-,-,-,-,-,-0.206 ,0.006 ,0.003 ,0.096 ,0.446 ,1,0,0,0,1,0,0,0,0
NM_013532,Lilrb4,2,21,-0.635 ,-0.867 ,-0.530 ,-0.030 ,0.055 ,-0.271 ,0.078 ,4.019 ,0,0,0,0,0,0,0,0,0
NM_024261,1700052n19rik,7,13,0.142 ,-0.104 ,0.187 ,-0.138 ,0.052 ,-0.036 ,-0.116 ,-0.943 ,0,0,0,0,0,0,0,0,0
NM_025551,Ndufa12,6,13,-0.204 ,-0.281 ,-0.041 ,0.092 ,0.035 ,0.151 ,0.072 ,-1.562 ,0,0,0,0,0,0,0,0,0
NM_010311,Gnaz,-,-,-,-,-,0.144 ,0.489 ,-0.182 ,0.023 ,-0.323 ,0,0,0,0,0,0,0,0,0
NM_013651,Sf3a2,4,10,-0.067 ,-0.104 ,0.020 ,-0.037 ,0.027 ,0.186 ,-0.138 ,-0.903 ,0,0,0,0,0,0,0,0,0
NM_001100606,Adat3,-,-,-,-,-,-0.246 ,0.252 ,0.181 ,-0.016 ,-0.410 ,0,0,0,0,0,0,0,0,0
NM_001037846,Cnot2,-,-,-,-,-,0.089 ,0.031 ,0.087 ,0.186 ,-0.422 ,0,0,1,0,0,0,0,0,0
NM_009108,Nr1h4,-,-,-,-,-,0.058 ,0.120 ,-0.061 ,0.097 ,0.357 ,0,0,0,0,0,0,0,0,0
NM_001034895,9130206n08rik,-,-,-,-,-,-0.055 ,0.048 ,0.173 ,-0.212 ,0.064 ,0,0,0,0,0,0,0,0,0
NM_025705,Dcbld1,-,-,-,-,-,-0.031 ,0.074 ,-0.205 ,-0.011 ,0.118 ,0,0,0,0,0,0,0,0,0
NM_001079876,Gas2l3,-,-,-,-,-,-0.144 ,0.064 ,-0.109 ,-0.338 ,-0.900 ,0,0,0,0,0,0,0,0,0
NM_017472,Snx3,8,35,-0.085 ,-0.106 ,-0.016 ,-0.053 ,0.036 ,-0.057 ,-0.053 ,-0.060 ,0,0,0,0,0,0,0,0,0
NM_008844,Pip5k1c,-,-,-,-,-,-0.030 ,0.036 ,0.244 ,0.113 ,0.350 ,0,0,0,0,0,0,0,0,0
NM_176968,Nt5dc1,6,7,-0.140 ,-0.259 ,0.027 ,0.149 ,0.032 ,-0.080 ,0.063 ,0.920 ,0,0,0,0,0,0,0,0,0
NM_133995,Upb1,-,-,-,-,-,0.223 ,0.048 ,0.035 ,-0.122 ,0.012 ,0,0,0,0,0,0,0,0,0
NM_207000,H2afy2,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_030262,Pofut2,3,3,-0.267 ,-0.315 ,0.096 ,-0.221 ,0.039 ,-0.109 ,-0.082 ,-0.218 ,0,0,0,0,0,0,0,0,0
NM_010027,Ddt,7,28,0.056 ,-0.005 ,0.086 ,0.088 ,0.053 ,0.021 ,0.063 ,-1.492 ,0,0,0,0,0,0,0,0,0
NM_019812,Sirt1,-,-,-,-,-,-0.251 ,0.076 ,-0.191 ,-0.060 ,-0.537 ,0,0,0,0,0,0,0,0,0
NM_001110218,Ppm1h,-,-,-,-,-,0.095 ,0.121 ,-0.577 ,0.046 ,0.664 ,0,0,0,0,0,0,0,0,0
NM_010301,Gna11,-,-,-,-,-,-0.043 ,0.086 ,-0.202 ,-0.003 ,-0.095 ,0,0,1,0,0,0,0,0,0
NM_174999,Eg215472,-,-,-,-,-,0.157 ,0.011 ,0.062 ,-0.301 ,-0.499 ,0,0,0,0,0,0,0,0,0
NM_026617,Tmbim4,-,-,-,-,-,-0.003 ,0.045 ,-0.042 ,-0.017 ,-0.090 ,0,0,0,0,0,0,0,0,0
NM_178609,E2f7,-,-,-,-,-,-0.391 ,0.031 ,-0.205 ,-0.276 ,-0.229 ,0,0,0,0,0,0,0,0,0
NM_009646,Aire,-,-,-,-,-,-0.296 ,0.172 ,0.091 ,-0.092 ,0.226 ,0,0,0,0,0,0,0,0,0
NM_027853,Mettl7b,-,-,-,-,-,0.030 ,0.094 ,0.156 ,-0.204 ,-0.207 ,0,0,0,0,0,0,0,0,0
NM_175328,Slc6a15,-,-,-,-,-,-0.234 ,0.129 ,0.246 ,0.090 ,-1.581 ,0,0,0,0,0,0,0,0,0
NM_197996,Tspan15,-,-,-,-,-,-0.024 ,0.163 ,0.180 ,-0.311 ,0.470 ,0,0,0,0,0,0,0,0,0
NM_024244,1200015n20rik,-,-,-,-,-,-0.012 ,0.064 ,0.139 ,-0.169 ,0.057 ,0,0,1,0,0,0,0,0,0
NM_027689,Rfx4,-,-,-,-,-,0.056 ,0.133 ,0.122 ,0.089 ,0.168 ,0,0,0,0,0,0,0,0,0
NM_016803,Chst3,-,-,-,-,-,0.200 ,0.078 ,0.050 ,-0.444 ,0.135 ,0,0,0,0,0,0,0,0,0
NM_009630,Adora2a,-,-,-,-,-,-0.179 ,0.074 ,-0.183 ,-0.080 ,0.362 ,0,0,0,0,0,0,0,0,0
NM_010009,Cyp27b1,-,-,-,-,-,0.144 ,0.103 ,0.112 ,-0.066 ,-0.041 ,0,0,0,0,0,0,0,0,0
NM_021568,Pcbp3,-,-,-,-,-,-0.099 ,0.105 ,0.226 ,0.030 ,-0.858 ,0,0,0,0,1,0,0,0,0
NM_027604,Usp15,24,57,0.038 ,-0.131 ,0.164 ,-0.043 ,0.043 ,0.065 ,0.129 ,0.105 ,0,0,0,0,0,1,0,0,0
NM_178621,Phyhipl,-,-,-,-,-,-0.084 ,0.126 ,0.207 ,0.079 ,0.356 ,0,0,0,0,0,0,0,0,0
NM_001034858,Armc2,-,-,-,-,-,-0.247 ,0.041 ,-0.053 ,0.089 ,0.112 ,0,0,0,0,0,0,0,0,0
NM_026570,Yeats4,-,-,-,-,-,0.071 ,0.032 ,-0.109 ,-0.051 ,-0.024 ,0,0,0,0,0,0,0,0,0
NM_025554,Polr2e,4,12,-0.162 ,-0.386 ,-0.005 ,0.026 ,0.026 ,0.219 ,0.213 ,-1.591 ,0,0,0,0,0,0,0,0,0
NM_010100,Edar,-,-,-,-,-,-0.010 ,0.062 ,0.180 ,-0.081 ,0.144 ,0,0,1,0,0,0,0,0,0
NM_001033391,A130090k04rik,-,-,-,-,-,0.165 ,0.090 ,-0.143 ,-0.075 ,1.296 ,0,0,0,0,0,0,0,0,0
NM_023431,Mum1,-,-,-,-,-,0.009 ,0.112 ,0.036 ,0.247 ,-1.142 ,0,0,0,0,0,0,0,0,0
NM_178258,Il22ra2,-,-,-,-,-,0.490 ,0.027 ,-0.313 ,0.309 ,0.287 ,0,0,0,0,0,0,0,0,0
NM_027829,9030607l17rik,-,-,-,-,-,0.086 ,0.148 ,-0.101 ,-0.304 ,0.314 ,0,0,0,0,0,0,0,0,0
NM_001110195,Echdc1,4,7,-0.412 ,-0.419 ,-0.192 ,-0.189 ,0.102 ,-0.067 ,-0.461 ,-2.102 ,0,0,0,0,0,0,0,0,0
NM_015761,Dos,-,-,-,-,-,-0.095 ,0.019 ,0.054 ,-0.186 ,0.186 ,0,0,0,0,0,0,0,0,0
NM_027191,Nup37,6,18,0.046 ,-0.030 ,0.291 ,-0.182 ,0.058 ,0.177 ,-0.156 ,-2.462 ,0,0,0,0,0,0,0,0,0
NM_146007,Col6a2,-,-,-,-,-,0.148 ,0.128 ,-0.061 ,-0.134 ,0.142 ,0,0,0,0,0,0,0,0,0
NM_080560,Ube2n,8,41,-0.003 ,-0.117 ,0.063 ,-0.338 ,0.064 ,-0.013 ,0.041 ,-1.126 ,0,0,0,0,0,0,0,0,0
NM_146241,Trhde,-,-,-,-,-,0.015 ,0.085 ,-0.177 ,0.019 ,0.147 ,0,0,0,0,0,0,0,0,0
NM_011702,Vip,-,-,-,-,-,0.233 ,0.240 ,-0.134 ,0.129 ,0.426 ,0,0,0,0,0,0,0,0,0
NM_025614,Rwdd1,2,6,-0.122 ,-0.269 ,0.102 ,0.050 ,0.059 ,0.194 ,0.022 ,-1.138 ,0,0,0,0,0,0,0,0,0
NM_183417,Cdk2,10,35,-0.143 ,-0.422 ,0.010 ,-0.112 ,0.096 ,-0.058 ,-0.137 ,-0.049 ,1,0,0,0,0,0,0,0,0
NM_175407,Sobp,-,-,-,-,-,0.055 ,0.044 ,0.087 ,-0.097 ,0.325 ,0,0,0,0,0,0,0,0,0
NM_009929,Col18a1,-,-,-,-,-,0.062 ,0.030 ,0.069 ,-0.294 ,-0.060 ,0,0,0,0,0,0,0,0,0
NM_145152,Lrrc3,-,-,-,-,-,0.112 ,0.076 ,0.005 ,-0.219 ,0.268 ,0,0,0,0,0,0,0,0,0
NM_010440,Hmg20b,-,-,-,-,-,0.051 ,0.039 ,-0.093 ,0.011 ,0.228 ,0,0,0,0,0,0,0,0,0
NM_008956,Ptbp1,16,359,-0.008 ,-0.080 ,0.059 ,0.146 ,0.103 ,-0.055 ,0.202 ,-0.257 ,0,0,0,0,0,0,0,0,0
NM_146006,Lss,7,14,-0.071 ,-0.156 ,0.063 ,-0.564 ,0.457 ,-0.458 ,-0.485 ,-0.686 ,0,0,0,0,0,0,0,0,0
NM_001033261,Ccdc131,-,-,-,-,-,0.078 ,0.110 ,-0.264 ,0.101 ,0.430 ,0,0,0,0,2,1,0,0,0
NM_026203,Ahi1,-,-,-,-,-,-0.411 ,0.067 ,-0.276 ,-0.513 ,-0.662 ,0,0,1,0,1,0,0,0,0
NM_009538,Plagl1,-,-,-,-,-,-0.045 ,0.054 ,0.023 ,0.005 ,0.275 ,0,0,0,0,0,0,0,0,0
NM_008777,Pah,-,-,-,-,-,-0.122 ,0.077 ,-0.116 ,-0.079 ,0.097 ,0,0,0,0,0,0,0,0,0
NM_172547,9130014g24rik,-,-,-,-,-,0.070 ,0.198 ,-0.132 ,0.174 ,0.549 ,0,0,0,2,0,0,0,0,0
NM_148922,Mdm1,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,0,0,0
NM_198164,Cdc2l6,-,-,-,-,-,0.336 ,0.101 ,-0.042 ,0.319 ,0.958 ,0,0,1,0,0,0,0,0,0
NM_021412,Mmp19,-,-,-,-,-,0.194 ,0.108 ,0.098 ,0.230 ,0.901 ,0,0,0,0,1,0,0,0,0
NM_028440,3110003a17rik,-,-,-,-,-,-0.067 ,0.042 ,0.050 ,0.011 ,-0.264 ,0,0,0,0,0,0,0,0,0
NM_029881,C030003d03rik,-,-,-,-,-,0.000 ,0.099 ,-0.067 ,0.168 ,0.338 ,0,0,0,0,0,0,0,0,0
NM_145422,D10wsu52e,16,45,0.041 ,-0.031 ,0.148 ,-0.065 ,0.021 ,-0.013 ,0.322 ,-1.914 ,0,0,0,0,0,0,0,0,0
NM_001033253,Plekhg1,-,-,-,-,-,-0.039 ,0.036 ,0.032 ,0.111 ,1.270 ,0,0,0,0,0,0,0,0,0
NM_001042710,Prssl1,1,4,-1.051 ,-1.531 ,-0.524 ,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_172784,Lrp11,-,-,-,-,-,-0.098 ,0.085 ,-0.038 ,-0.081 ,-0.461 ,0,0,0,0,0,0,0,0,0
NM_153542,Lrrc20,8,12,0.781 ,0.691 ,0.829 ,0.524 ,0.034 ,-0.167 ,0.362 ,1.173 ,0,0,0,0,0,0,0,0,0
NM_008337,Ifng,-,-,-,-,-,-0.015 ,0.066 ,0.134 ,-0.206 ,-0.144 ,0,0,0,0,0,0,0,0,0
NM_010828,Cited2,-,-,-,-,-,0.075 ,0.061 ,-0.174 ,0.258 ,-0.286 ,0,0,0,0,0,0,0,0,0
NM_172937,Shprh,-,-,-,-,-,-0.089 ,0.024 ,-0.043 ,-0.121 ,-1.044 ,0,0,0,1,0,0,0,0,0
NM_019434,Mcm3ap,-,-,-,-,-,0.101 ,0.085 ,0.088 ,-0.061 ,-0.571 ,0,0,0,0,0,0,0,0,0
NM_027078,1200009f10rik,-,-,-,-,-,0.138 ,0.039 ,0.008 ,0.181 ,-1.336 ,0,0,0,0,0,0,0,0,0
NM_008116,Ggt1,-,-,-,-,-,-0.571 ,0.096 ,0.035 ,-0.393 ,3.789 ,0,0,0,0,0,0,0,0,0
NM_027425,Rufy2,1,4,0.111 ,0.033 ,0.111 ,-0.005 ,0.148 ,-0.041 ,-0.121 ,-0.004 ,0,0,1,0,0,0,0,0,0
NM_198193,Raet1e,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_011492,Stk11,-,-,-,-,-,-0.053 ,0.052 ,-0.037 ,0.017 ,0.314 ,0,0,0,0,0,0,0,0,0
NM_011282,Ros1,-,-,-,-,-,0.114 ,0.054 ,0.115 ,0.107 ,0.199 ,0,0,0,0,0,0,0,0,0
NM_010319,Gng7,-,-,-,-,-,0.037 ,0.092 ,-0.097 ,-0.188 ,-0.047 ,0,0,0,0,0,0,0,0,0
NM_009933,Col6a1,-,-,-,-,-,-0.116 ,0.062 ,0.098 ,-0.175 ,-0.107 ,0,0,1,0,0,0,0,0,0
NM_027740,Wdr51b,3,6,-0.114 ,-0.177 ,-0.105 ,0.070 ,0.238 ,-0.161 ,-0.136 ,-0.726 ,0,0,0,0,0,0,0,0,0
NM_011631,Hsp90b1,57,800,0.348 ,0.282 ,0.461 ,-0.038 ,0.019 ,0.178 ,0.033 ,-1.788 ,0,1,0,1,0,0,0,0,0
NM_010792,Mettl1,2,3,-0.059 ,-0.059 ,0.215 ,-0.151 ,0.178 ,0.186 ,-0.350 ,-3.387 ,0,0,0,0,0,0,0,0,0
NM_008185,Gstt1,-,-,-,-,-,0.123 ,0.021 ,-0.115 ,-0.089 ,-0.225 ,0,0,0,0,0,0,0,0,0
NM_172134,Pdxk,5,13,-0.223 ,-0.341 ,-0.137 ,-0.347 ,0.048 ,0.229 ,0.040 ,-2.391 ,1,0,0,0,0,0,0,0,0
NM_134005,Enpp3,-,-,-,-,-,0.145 ,0.086 ,-0.005 ,-0.094 ,0.115 ,0,0,0,0,0,0,0,0,0
NM_007445,Amh,-,-,-,-,-,-0.119 ,0.077 ,0.189 ,-0.017 ,0.194 ,0,0,0,0,0,0,0,0,0
NM_177387,Ust,-,-,-,-,-,-0.014 ,0.083 ,0.104 ,-0.118 ,0.417 ,0,1,0,0,0,0,0,0,0
NM_007909,Efna2,-,-,-,-,-,-0.078 ,0.095 ,0.100 ,-0.154 ,0.404 ,0,0,0,0,0,0,0,0,0
NM_172553,Alx1,-,-,-,-,-,0.087 ,0.049 ,-0.018 ,0.072 ,0.278 ,0,0,0,0,0,0,0,0,0
NM_026643,2410017p07rik,-,-,-,-,-,0.007 ,0.109 ,-0.063 ,0.164 ,-1.488 ,0,0,0,0,0,0,0,0,0
NM_001033258,D10bwg1379e,-,-,-,-,-,0.015 ,0.054 ,0.004 ,-0.062 ,-0.786 ,0,0,0,0,0,1,0,0,0
NM_175194,Slc25a16,-,-,-,-,-,-0.169 ,0.034 ,-0.079 ,0.003 ,-0.508 ,0,0,0,0,0,0,0,0,0
NM_053183,Ddx50,-,-,-,-,-,0.032 ,0.024 ,-0.095 ,0.006 ,-0.514 ,0,0,0,0,0,0,0,0,0
NM_010288,Gja1,-,-,-,-,-,-0.286 ,0.113 ,0.467 ,-0.464 ,-2.199 ,0,0,0,0,0,0,0,0,0
NM_144528,Rnf126,-,-,-,-,-,-0.006 ,0.079 ,0.007 ,0.196 ,-1.152 ,0,0,0,0,0,0,0,0,0
NM_138956,Rassf3,-,-,-,-,-,0.329 ,0.206 ,0.050 ,-0.007 ,2.160 ,0,0,0,0,0,0,0,0,0
NM_017473,Rdh7,-,-,-,-,-,-0.025 ,0.021 ,0.110 ,0.064 ,0.259 ,0,0,0,0,1,0,0,0,0
NM_144821,Ai317395,-,-,-,-,-,0.045 ,0.086 ,0.089 ,-0.071 ,0.085 ,0,0,0,0,0,0,0,0,0
NM_021452,Kcnmb4,-,-,-,-,-,-0.087 ,0.143 ,0.121 ,-0.131 ,0.141 ,0,0,0,0,0,0,0,0,0
NM_026405,Rab32,15,87,-0.125 ,-0.330 ,0.126 ,-0.039 ,0.026 ,-0.017 ,0.046 ,1.446 ,0,0,0,0,0,0,0,0,0
NM_008813,Enpp1,-,-,-,-,-,-0.028 ,0.114 ,-0.376 ,0.256 ,-3.197 ,0,0,0,0,0,0,0,0,0
NM_010565,Inhbc,-,-,-,-,-,0.026 ,0.135 ,0.084 ,0.022 ,0.152 ,0,0,0,0,0,0,0,0,0
NM_009306,Syt1,-,-,-,-,-,-0.013 ,0.133 ,-0.055 ,-0.013 ,0.230 ,0,0,0,0,0,0,0,0,0
NM_011561,Tdg,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_009413,Tpd52l1,-,-,-,-,-,-0.048 ,0.057 ,0.134 ,-0.063 ,0.310 ,0,0,0,0,0,0,0,0,0
NM_016811,Dgka,-,-,-,-,-,0.216 ,0.119 ,-0.275 ,0.006 ,1.818 ,0,0,0,0,0,0,0,0,0
NM_198860,Ai646023,-,-,-,-,-,-0.207 ,0.234 ,0.111 ,-0.498 ,1.855 ,0,0,0,0,0,1,0,0,0
NM_025629,Adamtsl5,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_031397,Bicc1,-,-,-,-,-,-0.152 ,0.126 ,0.000 ,-0.080 ,0.177 ,0,0,0,0,0,1,0,0,0
NM_001031772,Lin28b,-,-,-,-,-,-0.002 ,0.051 ,0.049 ,0.082 ,0.128 ,0,0,0,0,0,0,0,0,0
NM_170690,Ank3,2,2,-0.172 ,-1.409 ,1.065 ,0.192 ,0.116 ,-0.067 ,-0.053 ,0.220 ,0,0,0,0,0,1,0,0,0
NM_133442,Grip1,-,-,-,-,-,0.042 ,0.112 ,-0.167 ,0.115 ,0.174 ,0,0,0,0,0,0,0,0,0
NM_001001932,Eea1,47,130,0.240 ,0.191 ,0.310 ,-0.114 ,0.043 ,-0.070 ,-0.134 ,0.066 ,0,0,1,0,1,0,0,0,0
NM_026166,1200009f10rik,-,-,-,-,-,-0.011 ,0.095 ,-0.065 ,0.051 ,-1.201 ,0,0,1,0,0,0,0,0,0
NM_146240,Rassf9,-,-,-,-,-,0.048 ,0.066 ,0.046 ,-0.025 ,0.035 ,0,0,0,0,0,0,0,0,0
NM_013508,Elk3,-,-,-,-,-,0.391 ,0.122 ,0.089 ,0.479 ,-1.892 ,0,0,0,0,0,0,0,0,0
NM_028491,1700040l02rik,-,-,-,-,-,-0.032 ,0.017 ,-0.644 ,0.156 ,-0.387 ,0,0,0,0,0,0,0,0,0
NM_172393,Aim1,-,-,-,-,-,-0.114 ,0.034 ,-0.070 ,-0.549 ,1.367 ,0,0,0,0,0,0,0,0,0
NM_027301,Rdh20,-,-,-,-,-,0.116 ,0.040 ,-0.110 ,0.043 ,0.395 ,0,0,1,0,0,0,0,0,0
NM_019702,Hbs1l,-,-,-,-,-,-0.389 ,0.047 ,-0.057 ,-0.176 ,-1.239 ,0,0,0,0,0,0,0,0,0
NM_001080129,Tmpo,-,-,-,-,-,-0.036 ,0.033 ,0.104 ,-0.138 ,0.006 ,0,1,0,0,0,0,0,0,0
NM_178678,Lrrtm3,-,-,-,-,-,0.108 ,0.164 ,-0.002 ,0.204 ,0.226 ,0,0,0,0,0,1,0,0,0
NM_178278,Caps2,-,-,-,-,-,0.083 ,0.089 ,-0.037 ,0.159 ,0.325 ,0,0,0,0,0,0,0,0,0
NM_008229,Hdac2,4,11,-0.124 ,-0.475 ,-0.088 ,-0.056 ,0.096 ,0.104 ,0.008 ,-2.294 ,0,0,0,0,0,0,0,0,0
NM_177794,Tmem26,-,-,-,-,-,-0.055 ,0.093 ,0.030 ,0.183 ,0.238 ,0,1,0,0,0,0,0,0,0
NM_175418,8030451f13rik,-,-,-,-,-,0.101 ,0.059 ,0.227 ,-0.314 ,0.087 ,0,0,0,0,0,0,0,0,0
NM_033072,Mbd6,-,-,-,-,-,0.087 ,0.061 ,-0.119 ,0.207 ,0.899 ,0,0,0,0,0,0,0,0,0
NM_026148,Lims1,5,13,0.051 ,-0.112 ,0.199 ,-0.149 ,0.012 ,-0.252 ,-0.153 ,0.940 ,0,0,0,0,0,0,0,0,0
NM_025716,Spryd4,-,-,-,-,-,-0.397 ,0.095 ,-0.098 ,-0.188 ,-2.183 ,0,0,0,0,0,0,0,0,0
NM_145925,Pttg1ip,-,-,-,-,-,0.258 ,0.027 ,-0.157 ,0.137 ,1.039 ,0,1,0,0,0,0,0,0,0
NM_010959,Oit3,-,-,-,-,-,-0.019 ,0.034 ,0.069 ,-0.100 ,0.686 ,0,0,0,0,0,1,0,0,0
NM_153059,Tmem5,-,-,-,-,-,-0.097 ,0.065 ,0.180 ,0.156 ,-2.333 ,0,0,0,0,0,0,0,0,0
NM_181586,Sirt6,-,-,-,-,-,0.049 ,0.054 ,-0.018 ,-0.105 ,0.265 ,0,0,0,0,0,0,0,0,0
NM_026701,Pbld,-,-,-,-,-,0.014 ,0.049 ,0.076 ,-0.079 ,-0.051 ,0,0,0,0,0,1,0,0,0
NM_008703,Nmbr,-,-,-,-,-,0.074 ,0.065 ,0.119 ,-0.091 ,0.119 ,0,0,0,0,0,0,0,0,0
NM_011391,Slc16a7,-,-,-,-,-,-0.052 ,0.014 ,-0.046 ,0.075 ,0.116 ,0,0,0,0,0,0,0,0,0
NM_001077707,Shprh,-,-,-,-,-,-0.043 ,0.116 ,0.102 ,-0.041 ,-0.220 ,0,0,0,1,0,0,0,0,0
NM_013722,Syn3,-,-,-,-,-,0.088 ,0.073 ,0.005 ,-0.038 ,0.517 ,0,0,0,0,0,0,0,0,0
NM_025684,Nepn,-,-,-,-,-,-0.129 ,0.113 ,-0.052 ,-0.104 ,0.248 ,0,0,0,0,0,0,0,0,0
NM_001033385,D630037f22rik,-,-,-,-,-,-0.105 ,0.034 ,-0.221 ,-0.172 ,-0.563 ,0,1,0,0,0,0,0,0,0
NM_030218,9130017n09rik,-,-,-,-,-,0.079 ,0.049 ,0.073 ,-0.143 ,-0.152 ,0,0,0,0,0,0,0,0,0
NM_029906,9530003j23rik,-,-,-,-,-,-0.098 ,0.176 ,0.006 ,-0.147 ,0.343 ,0,0,0,0,0,0,0,0,0
NM_001003939,Bc030307,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,0,1,0
NM_025521,2310011j03rik,-,-,-,-,-,0.037 ,0.044 ,0.046 ,0.014 ,0.249 ,0,0,0,0,0,0,0,0,0
NM_001039194,Aifm2,2,2,-0.087 ,-0.337 ,0.163 ,0.040 ,0.077 ,-0.119 ,-0.249 ,2.302 ,0,0,1,0,0,0,0,0,0
NM_172549,Cabin1,-,-,-,-,-,0.009 ,0.134 ,0.076 ,0.058 ,-0.320 ,0,0,0,0,0,0,0,0,0
NM_026858,Xrcc6bp1,-,-,-,-,-,-0.109 ,0.107 ,0.425 ,-0.060 ,-4.574 ,0,0,0,0,0,0,0,0,0
NM_029249,4930547n16rik,-,-,-,-,-,-0.160 ,0.072 ,-0.039 ,-0.217 ,-0.190 ,0,0,0,0,0,1,0,0,0
NM_177388,Slc41a2,-,-,-,-,-,0.183 ,0.022 ,0.023 ,0.077 ,0.355 ,0,0,0,0,0,0,0,0,0
NM_010512,Igf1,-,-,-,-,-,-0.017 ,0.235 ,0.083 ,0.189 ,0.247 ,0,0,1,0,0,1,0,0,0
NM_001025392,Bclaf1,3,5,0.094 ,-0.430 ,0.174 ,-0.095 ,0.026 ,-0.056 ,0.098 ,-1.343 ,0,0,0,0,0,0,0,0,0
NM_010296,Gli1,-,-,-,-,-,0.067 ,0.073 ,0.020 ,-0.023 ,0.346 ,0,0,0,0,0,0,0,0,0
NM_009163,Sgpl1,7,24,0.147 ,0.054 ,0.345 ,-0.117 ,0.012 ,0.112 ,0.048 ,1.872 ,0,0,0,0,0,0,0,0,0
NM_015781,Nap1l1,11,69,0.056 ,-0.014 ,0.172 ,-0.093 ,0.016 ,0.089 ,0.147 ,-1.992 ,0,0,0,0,0,0,0,0,0
NM_175936,Vmn2r81,-,-,-,-,-,-,-,-,-,-,0,0,0,1,0,0,0,0,0
NM_172790,Ankrd52,2,3,-0.156 ,-0.221 ,0.222 ,-,-,-,-,-,0,0,1,0,0,0,0,0,0
NM_173751,Ilvbl,2,2,-0.019 ,-0.026 ,-0.011 ,0.089 ,0.073 ,-0.100 ,0.040 ,-1.145 ,0,0,0,0,0,0,0,0,0
NM_019766,Ptges3,9,71,-0.046 ,-0.119 ,-0.001 ,-0.035 ,0.081 ,0.036 ,-0.082 ,-1.698 ,0,0,0,0,0,0,0,0,0
NM_030250,Nus1,-,-,-,-,-,-0.192 ,0.014 ,0.322 ,-0.086 ,-1.479 ,0,0,0,0,0,0,0,0,0
NM_001024837,Adarb1,-,-,-,-,-,-0.187 ,0.209 ,-0.075 ,-0.079 ,0.273 ,0,0,0,0,0,0,0,0,0
NM_028430,Ppil6,-,-,-,-,-,-0.019 ,0.097 ,-0.138 ,-0.043 ,0.199 ,0,0,0,0,0,0,0,0,0
NM_001077638,Prmt2,-,-,-,-,-,0.131 ,0.126 ,0.093 ,0.304 ,-0.182 ,0,0,0,0,0,0,0,0,0
NM_010690,Lats1,-,-,-,-,-,-0.426 ,0.155 ,-0.121 ,-0.061 ,0.352 ,0,0,1,0,0,0,0,0,0
NM_008635,Mtap7,-,-,-,-,-,-0.068 ,0.090 ,-0.156 ,-0.043 ,-1.750 ,0,0,1,0,0,0,0,0,0
